NPI,State,Login Time,Logout Time,Usage Time (mins),Count of Survey Attempts,Active Duration,Speciality_General Practice,Speciality_Neurology,Speciality_Oncology,Speciality_Orthopedics,Speciality_Pediatrics,Speciality_Radiology,Region_Northeast,Region_South,Region_West
1000000028,IL,2025-03-08 15:54:00,2025-03-08 16:07:00,13,9,13.0,True,False,False,False,False,False,False,False,True
1000000029,FL,2025-03-08 06:05:00,2025-03-08 07:54:00,109,7,109.0,False,False,False,False,False,False,False,True,False
1000000030,NY,2025-03-08 13:58:00,2025-03-08 14:26:00,28,2,28.0,False,False,False,False,False,False,False,False,False
1000000031,NC,2025-03-08 20:10:00,2025-03-08 22:02:00,112,10,112.0,False,False,True,False,False,False,False,True,False
1000000032,OH,2025-03-08 13:21:00,2025-03-08 14:55:00,94,3,94.0,False,False,True,False,False,False,False,True,False
1000000033,MI,2025-03-08 09:52:00,2025-03-08 11:05:00,73,3,73.0,False,True,False,False,False,False,False,False,False
1000000034,CA,2025-03-08 14:39:00,2025-03-08 15:34:00,55,7,55.0,False,False,False,False,True,False,True,False,False
1000000035,GA,2025-03-08 18:43:00,2025-03-08 20:41:00,118,5,118.0,False,False,False,True,False,False,True,False,False
1000000036,MI,2025-03-08 19:35:00,2025-03-08 21:08:00,93,1,93.0,False,False,False,False,False,False,False,False,True
1000000037,MI,2025-03-08 13:41:00,2025-03-08 15:26:00,105,9,105.0,False,True,False,False,False,False,False,False,False
1000000038,IL,2025-03-08 16:39:00,2025-03-08 18:12:00,93,2,93.0,False,False,False,False,True,False,False,False,True
1000000039,PA,2025-03-08 08:41:00,2025-03-08 09:43:00,62,7,62.0,False,False,False,True,False,False,False,True,False
1000000040,NC,2025-03-08 14:42:00,2025-03-08 14:54:00,12,10,12.0,False,False,False,False,False,True,False,True,False
1000000041,PA,2025-03-08 15:14:00,2025-03-08 16:02:00,48,6,48.0,False,False,False,False,False,True,True,False,False
1000000042,CA,2025-03-08 06:32:00,2025-03-08 06:43:00,11,6,11.0,False,False,True,False,False,False,False,False,True
1000000043,PA,2025-03-08 10:14:00,2025-03-08 10:54:00,40,1,40.0,True,False,False,False,False,False,False,False,True
1000000044,IL,2025-03-08 10:02:00,2025-03-08 10:50:00,48,9,48.0,False,False,False,False,True,False,False,True,False
1000000045,GA,2025-03-08 10:18:00,2025-03-08 10:41:00,23,1,23.0,True,False,False,False,False,False,False,True,False
1000000046,NY,2025-03-08 08:34:00,2025-03-08 09:01:00,27,0,27.0,False,False,False,False,True,False,True,False,False
1000000047,OH,2025-03-08 09:05:00,2025-03-08 10:06:00,61,6,61.0,False,False,False,False,False,True,True,False,False
1000000048,IL,2025-03-08 20:00:00,2025-03-08 20:37:00,37,9,37.0,False,False,False,False,False,True,False,True,False
1000000049,PA,2025-03-08 17:43:00,2025-03-08 19:18:00,95,9,95.0,False,False,False,False,False,True,False,False,True
1000000050,TX,2025-03-08 07:46:00,2025-03-08 08:17:00,31,8,31.0,False,False,False,False,False,False,False,True,False
1000000051,NY,2025-03-08 19:59:00,2025-03-08 21:33:00,94,5,94.0,False,False,True,False,False,False,False,False,True
1000000052,TX,2025-03-08 09:48:00,2025-03-08 10:22:00,34,4,34.0,False,False,False,False,True,False,True,False,False
1000000053,TX,2025-03-08 20:34:00,2025-03-08 22:13:00,99,0,99.0,False,False,False,False,False,False,False,False,True
1000000054,GA,2025-03-08 19:36:00,2025-03-08 21:28:00,112,0,112.0,False,False,False,False,False,False,True,False,False
1000000055,FL,2025-03-08 12:54:00,2025-03-08 14:38:00,104,3,104.0,False,False,True,False,False,False,False,False,False
1000000056,TX,2025-03-08 10:51:00,2025-03-08 12:26:00,95,6,95.0,False,False,False,False,True,False,False,False,False
1000000057,PA,2025-03-08 09:45:00,2025-03-08 11:07:00,82,5,82.0,False,False,False,False,True,False,False,False,False
1000000058,FL,2025-03-08 19:36:00,2025-03-08 20:03:00,27,3,27.0,False,False,False,False,False,True,False,False,False
1000000059,NC,2025-03-08 09:34:00,2025-03-08 10:51:00,77,6,77.0,False,False,False,False,True,False,True,False,False
1000000060,OH,2025-03-08 17:51:00,2025-03-08 19:32:00,101,6,101.0,False,False,False,True,False,False,False,True,False
1000000061,CA,2025-03-08 19:42:00,2025-03-08 21:26:00,104,6,104.0,True,False,False,False,False,False,False,False,False
1000000062,NC,2025-03-08 07:46:00,2025-03-08 09:46:00,120,6,120.0,False,True,False,False,False,False,False,True,False
1000000063,PA,2025-03-08 12:27:00,2025-03-08 13:12:00,45,7,45.0,False,True,False,False,False,False,False,False,False
1000000064,MI,2025-03-08 17:05:00,2025-03-08 17:30:00,25,0,25.0,False,False,False,False,False,True,False,False,True
1000000065,FL,2025-03-08 12:10:00,2025-03-08 12:55:00,45,1,45.0,False,False,True,False,False,False,True,False,False
1000000066,CA,2025-03-08 20:44:00,2025-03-08 22:33:00,109,8,109.0,True,False,False,False,False,False,False,False,False
1000000067,MI,2025-03-08 09:03:00,2025-03-08 09:28:00,25,8,25.0,False,False,False,True,False,False,True,False,False
1000000068,OH,2025-03-08 12:02:00,2025-03-08 12:43:00,41,0,41.0,False,False,True,False,False,False,False,False,False
1000000069,MI,2025-03-08 19:07:00,2025-03-08 19:15:00,8,7,8.0,False,False,False,False,True,False,False,True,False
1000000070,PA,2025-03-08 13:29:00,2025-03-08 15:28:00,119,8,119.0,False,False,False,True,False,False,False,False,False
1000000071,TX,2025-03-08 08:24:00,2025-03-08 09:06:00,42,3,42.0,False,False,False,False,False,False,False,True,False
1000000072,GA,2025-03-08 20:21:00,2025-03-08 20:31:00,10,7,10.0,False,False,False,True,False,False,True,False,False
1000000073,NY,2025-03-08 06:49:00,2025-03-08 07:49:00,60,1,60.0,False,False,False,True,False,False,False,False,False
1000000074,MI,2025-03-08 06:20:00,2025-03-08 07:22:00,62,7,62.0,False,False,True,False,False,False,False,False,False
1000000075,NC,2025-03-08 06:27:00,2025-03-08 06:45:00,18,9,18.0,False,True,False,False,False,False,True,False,False
1000000076,GA,2025-03-08 10:08:00,2025-03-08 10:49:00,41,10,41.0,False,True,False,False,False,False,True,False,False
1000000077,IL,2025-03-08 14:20:00,2025-03-08 16:12:00,112,8,112.0,False,True,False,False,False,False,False,False,False
1000000078,NY,2025-03-08 18:21:00,2025-03-08 18:57:00,36,5,36.0,False,False,True,False,False,False,True,False,False
1000000079,OH,2025-03-08 14:01:00,2025-03-08 14:08:00,7,1,7.0,False,False,False,False,False,False,True,False,False
1000000080,OH,2025-03-08 19:09:00,2025-03-08 19:55:00,46,5,46.0,False,False,False,True,False,False,False,True,False
1000000081,GA,2025-03-08 09:01:00,2025-03-08 10:38:00,97,6,97.0,False,False,False,False,True,False,True,False,False
1000000082,NC,2025-03-08 17:44:00,2025-03-08 17:53:00,9,8,9.0,False,True,False,False,False,False,False,True,False
1000000083,NC,2025-03-08 15:04:00,2025-03-08 15:22:00,18,8,18.0,True,False,False,False,False,False,True,False,False
1000000084,FL,2025-03-08 12:07:00,2025-03-08 13:12:00,65,6,65.0,False,False,False,True,False,False,False,True,False
1000000085,FL,2025-03-08 14:04:00,2025-03-08 15:58:00,114,9,114.0,False,False,False,False,False,False,False,False,True
1000000086,PA,2025-03-08 13:26:00,2025-03-08 14:50:00,84,5,84.0,True,False,False,False,False,False,False,False,True
1000000087,MI,2025-03-08 07:05:00,2025-03-08 08:17:00,72,6,72.0,False,True,False,False,False,False,False,False,False
1000000088,NC,2025-03-08 16:07:00,2025-03-08 16:16:00,9,4,9.0,False,False,True,False,False,False,False,True,False
1000000089,IL,2025-03-08 16:21:00,2025-03-08 17:47:00,86,9,86.0,False,False,False,True,False,False,False,True,False
1000000090,IL,2025-03-08 06:53:00,2025-03-08 08:25:00,92,6,92.0,False,False,False,True,False,False,False,True,False
1000000091,FL,2025-03-08 15:28:00,2025-03-08 16:09:00,41,1,41.0,False,True,False,False,False,False,False,False,False
1000000092,OH,2025-03-08 14:05:00,2025-03-08 15:51:00,106,4,106.0,False,False,False,False,True,False,False,False,False
1000000093,GA,2025-03-08 06:08:00,2025-03-08 06:25:00,17,3,17.0,False,False,False,False,False,True,False,False,True
1000000094,IL,2025-03-08 09:31:00,2025-03-08 10:06:00,35,9,35.0,False,False,False,False,False,True,False,True,False
1000000095,FL,2025-03-08 20:12:00,2025-03-08 20:20:00,8,9,8.0,False,False,False,True,False,False,False,False,True
1000000096,OH,2025-03-08 18:55:00,2025-03-08 20:04:00,69,9,69.0,False,True,False,False,False,False,False,False,True
1000000097,GA,2025-03-08 19:28:00,2025-03-08 20:48:00,80,0,80.0,False,True,False,False,False,False,False,False,True
1000000098,FL,2025-03-08 13:18:00,2025-03-08 14:07:00,49,1,49.0,False,False,True,False,False,False,False,False,True
1000000099,IL,2025-03-08 07:43:00,2025-03-08 08:04:00,21,1,21.0,False,False,False,False,False,False,False,False,False
1000000100,MI,2025-03-08 18:07:00,2025-03-08 19:59:00,112,0,112.0,False,False,True,False,False,False,False,True,False
1000000101,GA,2025-03-08 09:03:00,2025-03-08 09:50:00,47,7,47.0,True,False,False,False,False,False,False,False,True
1000000102,MI,2025-03-08 15:03:00,2025-03-08 16:57:00,114,4,114.0,False,False,False,True,False,False,False,False,False
1000000103,NY,2025-03-08 10:57:00,2025-03-08 12:41:00,104,2,104.0,True,False,False,False,False,False,False,False,False
1000000104,TX,2025-03-08 15:42:00,2025-03-08 16:38:00,56,9,56.0,False,False,False,False,False,False,False,False,True
1000000105,IL,2025-03-08 12:45:00,2025-03-08 13:12:00,27,10,27.0,False,False,False,True,False,False,False,False,True
1000000106,IL,2025-03-08 09:52:00,2025-03-08 10:52:00,60,9,60.0,False,False,True,False,False,False,False,False,True
1000000107,PA,2025-03-08 11:43:00,2025-03-08 13:39:00,116,9,116.0,False,False,False,True,False,False,False,True,False
1000000108,IL,2025-03-08 15:11:00,2025-03-08 15:27:00,16,7,16.0,False,False,False,False,False,True,False,False,True
1000000109,TX,2025-03-08 13:44:00,2025-03-08 15:27:00,103,8,103.0,False,False,False,False,True,False,False,False,False
1000000110,FL,2025-03-08 16:00:00,2025-03-08 17:47:00,107,6,107.0,False,False,False,False,False,True,True,False,False
1000000111,OH,2025-03-08 07:19:00,2025-03-08 07:34:00,15,0,15.0,False,False,False,False,False,True,False,False,False
1000000112,NY,2025-03-08 07:57:00,2025-03-08 08:29:00,32,2,32.0,False,False,True,False,False,False,False,False,True
1000000113,IL,2025-03-08 19:03:00,2025-03-08 19:46:00,43,8,43.0,False,False,True,False,False,False,False,False,False
1000000114,MI,2025-03-08 19:00:00,2025-03-08 19:52:00,52,0,52.0,False,False,False,False,True,False,False,False,False
1000000115,PA,2025-03-08 06:57:00,2025-03-08 08:41:00,104,6,104.0,False,True,False,False,False,False,False,True,False
1000000116,TX,2025-03-08 12:48:00,2025-03-08 13:35:00,47,6,47.0,True,False,False,False,False,False,False,False,False
1000000117,TX,2025-03-08 20:42:00,2025-03-08 22:16:00,94,5,94.0,False,False,False,False,False,True,False,False,False
1000000118,PA,2025-03-08 09:14:00,2025-03-08 09:45:00,31,8,31.0,True,False,False,False,False,False,True,False,False
1000000119,CA,2025-03-08 09:43:00,2025-03-08 11:13:00,90,8,90.0,False,False,True,False,False,False,True,False,False
1000000120,MI,2025-03-08 10:41:00,2025-03-08 12:28:00,107,8,107.0,False,False,False,True,False,False,False,True,False
1000000121,IL,2025-03-08 17:36:00,2025-03-08 19:03:00,87,1,87.0,False,True,False,False,False,False,False,True,False
1000000122,GA,2025-03-08 12:14:00,2025-03-08 13:54:00,100,1,100.0,False,False,True,False,False,False,False,False,False
1000000123,CA,2025-03-08 06:15:00,2025-03-08 06:52:00,37,9,37.0,False,False,False,False,False,False,True,False,False
1000000124,FL,2025-03-08 09:43:00,2025-03-08 09:55:00,12,8,12.0,False,False,False,False,False,True,False,False,True
1000000125,TX,2025-03-08 09:25:00,2025-03-08 11:10:00,105,10,105.0,False,False,False,True,False,False,False,True,False
1000000126,IL,2025-03-08 18:28:00,2025-03-08 19:28:00,60,8,60.0,False,True,False,False,False,False,False,False,False
1000000127,MI,2025-03-08 18:18:00,2025-03-08 19:34:00,76,9,76.0,False,False,False,False,False,True,True,False,False
1000000128,OH,2025-03-08 07:29:00,2025-03-08 08:56:00,87,2,87.0,False,False,False,True,False,False,False,False,False
1000000129,TX,2025-03-08 18:58:00,2025-03-08 19:13:00,15,9,15.0,False,True,False,False,False,False,False,True,False
1000000130,MI,2025-03-08 10:00:00,2025-03-08 10:19:00,19,10,19.0,False,False,False,False,False,False,False,True,False
1000000131,CA,2025-03-08 09:00:00,2025-03-08 10:47:00,107,6,107.0,False,False,False,False,True,False,False,True,False
1000000132,TX,2025-03-08 20:53:00,2025-03-08 22:46:00,113,6,113.0,False,False,False,True,False,False,False,False,False
1000000133,CA,2025-03-08 07:46:00,2025-03-08 08:16:00,30,6,30.0,False,False,False,False,False,True,False,False,True
1000000134,NC,2025-03-08 07:23:00,2025-03-08 08:59:00,96,9,96.0,False,False,False,False,False,True,False,True,False
1000000135,MI,2025-03-08 08:51:00,2025-03-08 09:27:00,36,5,36.0,False,False,False,True,False,False,True,False,False
1000000136,CA,2025-03-08 17:30:00,2025-03-08 17:57:00,27,10,27.0,False,False,False,False,True,False,False,False,True
1000000137,CA,2025-03-08 08:16:00,2025-03-08 09:26:00,70,7,70.0,False,False,True,False,False,False,False,True,False
1000000138,TX,2025-03-08 07:15:00,2025-03-08 08:11:00,56,0,56.0,False,False,False,False,False,True,False,False,False
1000000139,FL,2025-03-08 08:46:00,2025-03-08 10:34:00,108,2,108.0,False,False,True,False,False,False,False,True,False
1000000140,FL,2025-03-08 19:20:00,2025-03-08 20:14:00,54,8,54.0,False,True,False,False,False,False,False,False,False
1000000141,MI,2025-03-08 14:50:00,2025-03-08 14:59:00,9,6,9.0,True,False,False,False,False,False,False,True,False
1000000142,PA,2025-03-08 07:15:00,2025-03-08 08:20:00,65,4,65.0,False,False,True,False,False,False,True,False,False
1000000143,NY,2025-03-08 13:18:00,2025-03-08 15:11:00,113,9,113.0,False,False,False,False,True,False,False,True,False
1000000144,OH,2025-03-08 07:28:00,2025-03-08 07:44:00,16,1,16.0,False,False,False,True,False,False,True,False,False
1000000145,IL,2025-03-08 20:51:00,2025-03-08 22:20:00,89,8,89.0,False,False,False,True,False,False,False,False,False
1000000146,NY,2025-03-08 08:58:00,2025-03-08 10:16:00,78,9,78.0,True,False,False,False,False,False,True,False,False
1000000147,CA,2025-03-08 11:04:00,2025-03-08 12:18:00,74,3,74.0,False,False,False,False,False,True,False,False,True
1000000148,NY,2025-03-08 20:50:00,2025-03-08 21:42:00,52,10,52.0,False,True,False,False,False,False,False,True,False
1000000149,OH,2025-03-08 17:00:00,2025-03-08 18:17:00,77,4,77.0,False,False,False,True,False,False,True,False,False
1000000150,CA,2025-03-08 18:22:00,2025-03-08 20:06:00,104,8,104.0,False,False,True,False,False,False,False,False,False
1000000151,MI,2025-03-08 07:09:00,2025-03-08 07:43:00,34,5,34.0,True,False,False,False,False,False,True,False,False
1000000152,MI,2025-03-08 11:56:00,2025-03-08 12:58:00,62,6,62.0,False,False,False,True,False,False,True,False,False
1000000153,CA,2025-03-08 18:08:00,2025-03-08 18:39:00,31,1,31.0,True,False,False,False,False,False,False,False,True
1000000154,IL,2025-03-08 08:59:00,2025-03-08 10:38:00,99,1,99.0,False,False,False,False,True,False,False,True,False
1000000155,GA,2025-03-08 14:24:00,2025-03-08 15:42:00,78,1,78.0,False,False,False,False,False,True,False,False,True
1000000156,IL,2025-03-08 10:53:00,2025-03-08 10:58:00,5,10,5.0,False,False,False,False,True,False,False,True,False
1000000157,OH,2025-03-08 09:53:00,2025-03-08 11:07:00,74,5,74.0,False,False,False,False,True,False,False,False,True
1000000158,MI,2025-03-08 10:19:00,2025-03-08 10:49:00,30,0,30.0,False,False,False,False,True,False,False,True,False
1000000159,IL,2025-03-08 12:54:00,2025-03-08 14:25:00,91,2,91.0,False,False,False,False,True,False,False,False,True
1000000160,MI,2025-03-08 17:03:00,2025-03-08 18:27:00,84,2,84.0,False,False,False,False,False,False,False,True,False
1000000161,GA,2025-03-08 07:23:00,2025-03-08 07:30:00,7,5,7.0,False,False,False,False,True,False,False,False,False
1000000162,GA,2025-03-08 13:40:00,2025-03-08 15:12:00,92,9,92.0,False,False,False,False,False,True,False,False,True
1000000163,NC,2025-03-08 16:55:00,2025-03-08 17:28:00,33,8,33.0,False,False,False,False,False,False,False,False,False
1000000164,PA,2025-03-08 17:23:00,2025-03-08 17:29:00,6,6,6.0,False,False,False,False,False,False,True,False,False
1000000165,GA,2025-03-08 20:35:00,2025-03-08 22:29:00,114,0,114.0,False,False,False,True,False,False,False,False,True
1000000166,MI,2025-03-08 09:22:00,2025-03-08 10:54:00,92,4,92.0,False,False,False,False,False,False,False,False,False
1000000167,FL,2025-03-08 13:04:00,2025-03-08 14:57:00,113,3,113.0,False,False,False,False,False,True,False,False,True
1000000168,GA,2025-03-08 15:59:00,2025-03-08 17:55:00,116,6,116.0,False,False,False,False,True,False,True,False,False
1000000169,CA,2025-03-08 18:51:00,2025-03-08 19:51:00,60,0,60.0,False,False,False,False,False,False,False,False,True
1000000170,TX,2025-03-08 06:10:00,2025-03-08 06:56:00,46,7,46.0,False,True,False,False,False,False,True,False,False
1000000171,PA,2025-03-08 06:03:00,2025-03-08 06:50:00,47,0,47.0,False,True,False,False,False,False,False,False,True
1000000172,NY,2025-03-08 09:34:00,2025-03-08 10:04:00,30,8,30.0,False,False,False,False,True,False,False,False,False
1000000173,NY,2025-03-08 15:35:00,2025-03-08 15:45:00,10,9,10.0,False,False,False,False,False,False,False,False,False
1000000174,TX,2025-03-08 17:31:00,2025-03-08 19:27:00,116,1,116.0,False,True,False,False,False,False,False,False,False
1000000175,OH,2025-03-08 08:57:00,2025-03-08 09:42:00,45,1,45.0,False,False,False,False,True,False,False,True,False
1000000176,IL,2025-03-08 15:43:00,2025-03-08 16:06:00,23,6,23.0,False,False,True,False,False,False,True,False,False
1000000177,FL,2025-03-08 06:53:00,2025-03-08 07:58:00,65,5,65.0,True,False,False,False,False,False,False,False,True
1000000178,MI,2025-03-08 06:41:00,2025-03-08 08:31:00,110,5,110.0,False,False,False,False,True,False,False,True,False
1000000179,OH,2025-03-08 12:24:00,2025-03-08 13:14:00,50,3,50.0,True,False,False,False,False,False,True,False,False
1000000180,TX,2025-03-08 08:24:00,2025-03-08 09:34:00,70,9,70.0,False,False,False,False,False,False,True,False,False
1000000181,CA,2025-03-08 07:40:00,2025-03-08 09:23:00,103,1,103.0,False,False,False,False,False,True,True,False,False
1000000182,CA,2025-03-08 08:22:00,2025-03-08 08:47:00,25,7,25.0,False,False,False,False,False,False,False,True,False
1000000183,GA,2025-03-08 13:08:00,2025-03-08 14:45:00,97,6,97.0,False,False,False,False,True,False,False,False,True
1000000184,IL,2025-03-08 12:00:00,2025-03-08 13:20:00,80,9,80.0,False,False,False,True,False,False,True,False,False
1000000185,GA,2025-03-08 12:35:00,2025-03-08 12:59:00,24,2,24.0,False,False,False,False,True,False,False,False,False
1000000186,CA,2025-03-08 09:44:00,2025-03-08 11:27:00,103,8,103.0,False,False,True,False,False,False,False,False,False
1000000187,IL,2025-03-08 12:31:00,2025-03-08 14:25:00,114,8,114.0,False,False,True,False,False,False,False,False,False
1000000188,MI,2025-03-08 08:48:00,2025-03-08 10:01:00,73,5,73.0,False,False,True,False,False,False,False,False,False
1000000189,OH,2025-03-08 12:28:00,2025-03-08 14:10:00,102,6,102.0,True,False,False,False,False,False,True,False,False
1000000190,PA,2025-03-08 18:52:00,2025-03-08 20:35:00,103,0,103.0,True,False,False,False,False,False,False,False,True
1000000191,PA,2025-03-08 18:44:00,2025-03-08 20:42:00,118,9,118.0,True,False,False,False,False,False,False,False,True
1000000192,NY,2025-03-08 13:08:00,2025-03-08 13:49:00,41,10,41.0,False,False,False,True,False,False,True,False,False
1000000193,FL,2025-03-08 13:06:00,2025-03-08 14:32:00,86,6,86.0,False,False,False,True,False,False,False,False,False
1000000194,IL,2025-03-08 08:52:00,2025-03-08 10:42:00,110,7,110.0,False,False,False,False,True,False,False,False,True
1000000195,OH,2025-03-08 08:43:00,2025-03-08 10:01:00,78,3,78.0,False,False,False,False,True,False,False,True,False
1000000196,NY,2025-03-08 17:26:00,2025-03-08 18:40:00,74,1,74.0,True,False,False,False,False,False,False,True,False
1000000197,GA,2025-03-08 09:46:00,2025-03-08 11:09:00,83,7,83.0,True,False,False,False,False,False,True,False,False
1000000198,FL,2025-03-08 20:39:00,2025-03-08 21:53:00,74,1,74.0,False,False,False,False,True,False,False,False,False
1000000199,PA,2025-03-08 15:48:00,2025-03-08 16:47:00,59,0,59.0,False,False,False,False,False,False,False,False,True
1000000200,IL,2025-03-08 06:47:00,2025-03-08 07:38:00,51,1,51.0,False,False,True,False,False,False,False,False,True
1000000201,FL,2025-03-08 15:34:00,2025-03-08 16:18:00,44,3,44.0,False,True,False,False,False,False,False,True,False
1000000202,CA,2025-03-08 17:56:00,2025-03-08 19:53:00,117,8,117.0,False,False,True,False,False,False,True,False,False
1000000203,MI,2025-03-08 11:08:00,2025-03-08 12:28:00,80,5,80.0,False,False,False,False,True,False,True,False,False
1000000204,TX,2025-03-08 13:42:00,2025-03-08 13:49:00,7,10,7.0,True,False,False,False,False,False,True,False,False
1000000205,MI,2025-03-08 14:54:00,2025-03-08 16:28:00,94,1,94.0,False,False,False,False,False,False,False,True,False
1000000206,NY,2025-03-08 18:16:00,2025-03-08 19:11:00,55,6,55.0,False,False,False,True,False,False,True,False,False
1000000207,OH,2025-03-08 14:56:00,2025-03-08 15:18:00,22,8,22.0,False,False,False,True,False,False,False,True,False
1000000208,IL,2025-03-08 15:33:00,2025-03-08 17:19:00,106,10,106.0,True,False,False,False,False,False,True,False,False
1000000209,OH,2025-03-08 07:02:00,2025-03-08 07:21:00,19,10,19.0,False,True,False,False,False,False,False,True,False
1000000210,PA,2025-03-08 11:34:00,2025-03-08 13:07:00,93,3,93.0,False,False,False,True,False,False,False,False,True
1000000211,MI,2025-03-08 11:12:00,2025-03-08 13:06:00,114,0,114.0,False,False,True,False,False,False,False,True,False
1000000212,PA,2025-03-08 17:56:00,2025-03-08 19:37:00,101,6,101.0,True,False,False,False,False,False,False,True,False
1000000213,NC,2025-03-08 17:03:00,2025-03-08 18:54:00,111,0,111.0,False,False,False,False,False,True,True,False,False
1000000214,CA,2025-03-08 08:03:00,2025-03-08 09:36:00,93,3,93.0,False,False,False,False,False,False,False,False,False
1000000215,FL,2025-03-08 16:56:00,2025-03-08 17:39:00,43,7,43.0,False,False,False,False,False,False,True,False,False
1000000216,OH,2025-03-08 06:28:00,2025-03-08 07:42:00,74,6,74.0,False,True,False,False,False,False,False,True,False
1000000217,NC,2025-03-08 20:34:00,2025-03-08 21:13:00,39,3,39.0,False,False,False,False,True,False,False,True,False
1000000218,GA,2025-03-08 12:49:00,2025-03-08 13:15:00,26,6,26.0,False,True,False,False,False,False,False,False,True
1000000219,CA,2025-03-08 19:19:00,2025-03-08 20:14:00,55,7,55.0,False,False,False,False,False,False,False,False,False
1000000220,CA,2025-03-08 12:56:00,2025-03-08 13:58:00,62,4,62.0,False,False,False,True,False,False,False,False,True
1000000221,MI,2025-03-08 16:26:00,2025-03-08 17:23:00,57,10,57.0,True,False,False,False,False,False,False,False,True
1000000222,CA,2025-03-08 16:56:00,2025-03-08 17:56:00,60,8,60.0,False,False,False,False,False,False,False,False,False
1000000223,CA,2025-03-08 08:49:00,2025-03-08 09:46:00,57,4,57.0,False,False,False,True,False,False,False,False,True
1000000224,CA,2025-03-08 07:19:00,2025-03-08 09:02:00,103,0,103.0,False,False,False,False,True,False,False,False,True
1000000225,TX,2025-03-08 12:53:00,2025-03-08 14:27:00,94,7,94.0,False,False,False,False,True,False,True,False,False
1000000226,TX,2025-03-08 15:49:00,2025-03-08 17:22:00,93,8,93.0,False,True,False,False,False,False,False,False,False
1000000227,IL,2025-03-08 09:06:00,2025-03-08 11:01:00,115,4,115.0,False,False,False,True,False,False,False,False,True
1000000228,NY,2025-03-08 10:59:00,2025-03-08 11:47:00,48,6,48.0,False,False,False,False,True,False,True,False,False
